time,open,high,low,close,Volume,Close MA,Volume MA,gain,loss,avg gain,avg loss,RSI,rsi ma
2023-11-15T13:50:00+05:30,19658.15,,,19661.05,2442747,,,,,,,66.55887244,
2023-11-15T13:55:00+05:30,19661.35,,,19657.25,2955361,,,,,,,62.20372935,
2023-11-15T14:00:00+05:30,19657.4,,,19665.4,2378995,,,,,,,67.16598525,
2023-11-15T14:05:00+05:30,19665.25,,,19661.0,2640629,,,,,,,62.40263124,
2023-11-15T14:10:00+05:30,19660.85,,,19659.0,4303120,,,,,,,60.30896547,
2023-11-15T14:15:00+05:30,19658.75,,,19659.0,3369175,,,,,,,60.30896547,
2023-11-15T14:20:00+05:30,19658.65,,,19658.55,3190473,,,,,,,59.78554282,
2023-11-15T14:25:00+05:30,19656.8,,,19658.7,4747815,,,,,,,59.91044365,
2023-11-15T14:30:00+05:30,19659.45,,,19666.25,3321210,,,,,,,65.68714973,
2023-11-15T14:35:00+05:30,19667.15,,,19675.1,3045645,,,,,,,70.96803214,
2023-11-15T14:40:00+05:30,19675.25,,,19668.9,2894705,,,,,,,63.58495856,
2023-11-15T14:45:00+05:30,19668.4,,,19661.4,2903833,,,,,,,55.99594591,
2023-11-15T14:50:00+05:30,19661.45,,,19657.65,3206334,,,,,,,52.61458358,
2023-11-15T14:55:00+05:30,19657.95,,,19646.25,3175886,,,,,,,43.92990658,
2023-11-15T15:00:00+05:30,19643.7,,,19666.65,6482018,,,,,,,57.46128168,
2023-11-15T15:05:00+05:30,19666.25,,,19671.7,7058320,,,,,,,60.03263672,
2023-11-15T15:10:00+05:30,19671.8,,,19677.4,6736212,,,,,,,62.76827672,
2023-11-15T15:15:00+05:30,19676.95,,,19681.85,8687335,,,,,,,64.79426399,
2023-11-15T15:20:00+05:30,19681.5,,,19689.5,7923733,,,,,,,68.01635389,
2023-11-15T15:25:00+05:30,19689.6,,,19676.8,5923978,19669.81,4369376.2,,,3.77083767679378,2.6803213781185624,58.45209589,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
